file,participant_id,read_encoding,total_rows,practice_trials,main_trials,completed_main_valid_rt,missing_blank_rt_count,timeout_missed_response_count,overall_main_accuracy,real_word_accuracy,pseudoword_accuracy,practice_accuracy,median_rt,mean_rt,min_rt,max_rt,very_fast_rt_below_250ms_pct,very_slow_rt_above_2500ms_pct,f_response_count,j_response_count,word_response_proportion,nonword_response_proportion,flags,usable_by_rules
1_session-001_ldt_20260522_213504.csv,1,utf-8-sig,124,4,120,120,0,0,0.933333,0.986111,0.854167,1,0.660661,0.700661,0.322493,1.546088,0.0,0.0,78,42,0.65,0.35,,yes
2_session-001_ldt_20260522_221125.csv,2,utf-8-sig,124,4,120,120,0,0,0.866667,0.972222,0.708333,0.75,0.582647,0.630099,0.272794,1.526485,0.0,0.0,84,36,0.7,0.3,,yes
3_session-001_ldt_20260522_222932.csv,3,utf-8-sig,124,4,120,120,0,0,0.891667,0.972222,0.770833,1,0.574469,0.655298,0.338888,2.157564,0.0,0.0,81,39,0.675,0.325,,yes
4_session-001_ldt_20260522_224200.csv,4,utf-8-sig,124,4,120,119,1,1,0.916667,1,0.791667,1,0.755783,0.764897,0.285,1.354146,0.0,0.0,81,38,0.680672,0.319328,,yes
5_session-001_ldt_20260522_224430.csv,5,utf-8-sig,124,4,120,120,0,0,0.858333,0.972222,0.6875,1,0.67463,0.702322,0.285,1.460065,0.0,0.0,85,35,0.708333,0.291667,,yes
6_session-001_ldt_20260522_224700.csv,6,utf-8-sig,124,4,120,120,0,0,0.941667,1,0.854167,1,0.682276,0.715356,0.285,1.538048,0.0,0.0,79,41,0.658333,0.341667,,yes
7_session-001_ldt_20260522_224930.csv,7,utf-8-sig,124,4,120,119,1,1,0.916667,0.986111,0.8125,1,0.594294,0.639754,0.285,1.618899,0.0,0.0,80,39,0.672269,0.327731,,yes
8_session-001_ldt_20260522_225200.csv,8,utf-8-sig,124,4,120,119,1,1,0.925,0.972222,0.854167,0.5,0.57342,0.600196,0.285,1.341028,0.0,0.0,76,43,0.638655,0.361345,,yes
9_session-001_ldt_20260522_231226.csv,9,utf-8-sig,124,4,120,120,0,0,0.875,0.972222,0.729167,0.75,0.518637,0.580534,0.289259,1.823622,0.0,0.0,83,37,0.691667,0.308333,,yes
10_session-001_ldt_20260522_231506.csv,10,utf-8-sig,124,4,120,120,0,0,0.916667,0.986111,0.8125,1,0.600467,0.645168,0.336562,1.737907,0.0,0.0,80,40,0.666667,0.333333,,yes
