file,participant_id_filename,participant_id_inside,session,timestamp,encoding_used,row_count,practice_trial_count,main_trial_count,structurally_usable,valid_rt_count,missing_rt_count,timeout_missed_response_count,overall_main_accuracy,real_word_accuracy,pseudoword_accuracy,practice_accuracy,mean_rt,median_rt,min_rt,max_rt,pct_rt_below_250ms,pct_rt_above_2500ms,f_response_count,j_response_count,word_response_proportion,nonword_response_proportion,duplicate_main_trial_ids,accuracy_mismatch_count,invalid_key_count,response_mapping_mismatch_count,flags,warnings,suspicious_pattern_flags
1_session-001_ldt_20260522_213504.csv,1,1,001,20260522_213504,utf-8-sig,124,4,120,True,120,0,0,0.9333333333333333,0.9861111111111112,0.8541666666666666,1.0,0.7006612416666667,0.6606605000000001,0.322493,1.546088,0.0,0.0,78,42,0.65,0.35,0,0,0,0,,,
2_session-001_ldt_20260522_221125.csv,2,2,001,20260522_221125,utf-8-sig,124,4,120,True,120,0,0,0.8666666666666667,0.9722222222222222,0.7083333333333334,0.75,0.6300985416666667,0.5826465000000001,0.272794,1.526485,0.0,0.0,84,36,0.7,0.3,0,0,0,0,,,
3_session-001_ldt_20260522_222932.csv,3,3,001,20260522_222932,utf-8-sig,124,4,120,True,120,0,0,0.8916666666666667,0.9722222222222222,0.7708333333333334,1.0,0.6552977583333334,0.5744695,0.338888,2.157564,0.0,0.0,81,39,0.675,0.325,0,0,0,0,,,
4_session-001_ldt_20260522_224200.csv,4,4,001,20260522_224200,utf-8-sig,124,4,120,True,119,1,1,0.9166666666666666,1.0,0.7916666666666666,1.0,0.7648972941176471,0.755783,0.285,1.354146,0.0,0.0,81,38,0.675,0.31666666666666665,0,0,0,0,,,
5_session-001_ldt_20260522_224430.csv,5,5,001,20260522_224430,utf-8-sig,124,4,120,True,120,0,0,0.8583333333333333,0.9722222222222222,0.6875,1.0,0.7023224833333334,0.6746304999999999,0.285,1.460065,0.0,0.0,85,35,0.7083333333333334,0.2916666666666667,0,0,0,0,,,
6_session-001_ldt_20260522_224700.csv,6,6,001,20260522_224700,utf-8-sig,124,4,120,True,120,0,0,0.9416666666666667,1.0,0.8541666666666666,1.0,0.7153558916666667,0.6822755,0.285,1.538048,0.0,0.0,79,41,0.6583333333333333,0.3416666666666667,0,0,0,0,,,
7_session-001_ldt_20260522_224930.csv,7,7,001,20260522_224930,utf-8-sig,124,4,120,True,119,1,1,0.9166666666666666,0.9861111111111112,0.8125,1.0,0.6397536134453782,0.594294,0.285,1.618899,0.0,0.0,80,39,0.6666666666666666,0.325,0,0,0,0,,,
8_session-001_ldt_20260522_225200.csv,8,8,001,20260522_225200,utf-8-sig,124,4,120,True,119,1,1,0.925,0.9722222222222222,0.8541666666666666,0.5,0.6001963445378151,0.57342,0.285,1.341028,0.0,0.0,76,43,0.6333333333333333,0.35833333333333334,0,0,0,0,,,
9_session-001_ldt_20260522_231226.csv,9,9,001,20260522_231226,utf-8-sig,124,4,120,True,120,0,0,0.875,0.9722222222222222,0.7291666666666666,0.75,0.5805336333333333,0.518637,0.289259,1.823622,0.0,0.0,83,37,0.6916666666666667,0.30833333333333335,0,0,0,0,,,
10_session-001_ldt_20260522_231506.csv,10,10,001,20260522_231506,utf-8-sig,124,4,120,True,120,0,0,0.9166666666666666,0.9861111111111112,0.8125,1.0,0.64516805,0.6004674999999999,0.336562,1.737907,0.0,0.0,80,40,0.6666666666666666,0.3333333333333333,0,0,0,0,,,
