pseudoword,syllable_length,quality_flag,source_method,pronounceability_note,corpus_match_status,review_status,notes
chéch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
thẹch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
phỷn,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
đải,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
týt,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
kểp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
chủi,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
thưn,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nhảp,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ghên,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nhẻnh,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
ớch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
cứi,1,medium,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
bựn,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nghẹch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
hảc,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
giẹch,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
nhểm,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
chổm,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
trắt,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
lứt,1,high,v2_curated_vietnamese_onset_rime_recombination,Vietnamese-marked onset-rime syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, candidate-pool, or final real-word files",needs_manual_review,candidate pool only; not final pseudoword stimulus item
