participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt
28,practice,PRACTICE_001,mèo,word,1,1,,,mèo,word,f,word,1,0.758
28,practice,PRACTICE_002,mẻo,pseudoword,0,1,,,mèo,nonword,j,nonword,1,0.793
28,practice,PRACTICE_003,ghế đá,word,1,2,,,ghế đá,word,f,word,1,0.828
28,practice,PRACTICE_004,tủ lảnh,pseudoword,0,2,,,tủ lạnh,nonword,j,nonword,1,0.863
28,main,LDT_001,biểc,pseudoword,0,1,,,biển,nonword,j,nonword,1,0.758026
28,main,LDT_002,bàc,pseudoword,0,1,,,bàn,nonword,j,nonword,1,0.736246
28,main,LDT_003,búc,pseudoword,0,1,,,bút,nonword,j,nonword,1,0.776466
28,main,LDT_004,chá,pseudoword,0,1,,,chợ,nonword,j,nonword,1,0.726686
28,main,LDT_005,khây,pseudoword,0,1,,,cây,nonword,j,nonword,1,0.750906
28,main,LDT_006,cở,pseudoword,0,1,,,cỏ,nonword,f,word,0,0.769126
28,main,LDT_007,côc,pseudoword,0,1,,,cốc,nonword,j,nonword,1,0.719346
28,main,LDT_008,bửa,pseudoword,0,1,,,cửa,nonword,j,nonword,1,0.759566
28,main,LDT_009,dản,pseudoword,0,1,,,dân,nonword,j,nonword,1,0.737786
28,main,LDT_010,ghể,pseudoword,0,1,,,ghế,nonword,j,nonword,1,0.778006
28,main,LDT_011,gá,pseudoword,0,1,,,giá,nonword,j,nonword,1,0.728226
28,main,LDT_012,hó,pseudoword,0,1,,,gió,nonword,j,nonword,1,0.752446
28,main,LDT_013,đoa,pseudoword,0,1,,,hoa,nonword,j,nonword,1,0.770666
28,main,LDT_014,hàc,pseudoword,0,1,,,hàng,nonword,j,nonword,1,0.720886
28,main,LDT_015,luậc,pseudoword,0,1,,,luật,nonword,j,nonword,1,0.761106
28,main,LDT_016,lâ,pseudoword,0,1,,,lá,nonword,j,nonword,1,0.739326
28,main,LDT_017,lủc,pseudoword,0,1,,,lực,nonword,j,nonword,1,0.779546
28,main,LDT_018,mố,pseudoword,0,1,,,mũ,nonword,j,nonword,1,0.729766
28,main,LDT_019,măt,pseudoword,0,1,,,mắt,nonword,j,nonword,1,0.753986
28,main,LDT_020,nhâ,pseudoword,0,1,,,nhà,nonword,j,nonword,1,0.772206
28,main,LDT_021,búi,pseudoword,0,1,,,núi,nonword,j,nonword,1,0.722426
28,main,LDT_022,nướp,pseudoword,0,1,,,nước,nonword,j,nonword,1,0.762646
28,main,LDT_023,rúng,pseudoword,0,1,,,rừng,nonword,j,nonword,1,0.740866
28,main,LDT_024,sảch,pseudoword,0,1,,,sách,nonword,j,nonword,1,0.781086
28,main,LDT_025,sọng,pseudoword,0,1,,,sông,nonword,j,nonword,1,0.731306
28,main,LDT_026,thuốn,pseudoword,0,1,,,thuốc,nonword,j,nonword,1,0.755526
28,main,LDT_027,týn,pseudoword,0,1,,,tin,nonword,j,nonword,1,0.773746
28,main,LDT_028,tiềc,pseudoword,0,1,,,tiền,nonword,j,nonword,1,0.723966
28,main,LDT_029,trý,pseudoword,0,1,,,trị,nonword,j,nonword,1,0.764186
28,main,LDT_030,bải,pseudoword,0,1,,,vải,nonword,j,nonword,1,0.742406
28,main,LDT_031,vảt,pseudoword,0,1,,,vật,nonword,j,nonword,1,0.782626
28,main,LDT_032,xể,pseudoword,0,1,,,xe,nonword,j,nonword,1,0.732846
28,main,LDT_033,máo,pseudoword,0,1,,,áo,nonword,j,nonword,1,0.757066
28,main,LDT_034,đâ,pseudoword,0,1,,,đá,nonword,j,nonword,1,0.775286
28,main,LDT_035,đén,pseudoword,0,1,,,đèn,nonword,j,nonword,1,0.725506
28,main,LDT_036,đườm,pseudoword,0,1,,,đường,nonword,j,nonword,1,0.765726
28,main,LDT_037,đat,pseudoword,0,1,,,đất,nonword,j,nonword,1,0.743946
28,main,LDT_148,biển,word,1,1,64.0,4.158883083,biển,word,f,word,1,1.109672
28,main,LDT_149,bàn,word,1,1,333.0,5.80814249,bàn,word,f,word,1,0.587116
28,main,LDT_150,bút,word,1,1,41.0,3.713572067,bút,word,f,word,1,0.678362
28,main,LDT_151,chợ,word,1,1,108.0,4.682131227,chợ,word,f,word,1,0.665588
28,main,LDT_152,cây,word,1,1,281.0,5.638354669,cây,word,f,word,1,0.585209
28,main,LDT_153,cỏ,word,1,1,26.0,3.258096538,cỏ,word,f,word,1,0.701597
28,main,LDT_154,cốc,word,1,1,19.0,2.944438979,cốc,word,f,word,1,0.689855
28,main,LDT_155,cửa,word,1,1,258.0,5.552959585,cửa,word,f,word,1,0.646602
28,main,LDT_156,dân,word,1,1,155.0,5.043425117,dân,word,f,word,1,0.613127
28,main,LDT_157,ghế,word,1,1,133.0,4.890349128,ghế,word,f,word,1,0.642245
28,main,LDT_158,giá,word,1,1,714.0,6.570882962,giá,word,f,word,1,0.606688
28,main,LDT_159,gió,word,1,1,118.0,4.770684624,gió,word,f,word,1,0.614515
28,main,LDT_160,hoa,word,1,1,572.0,6.349138991,hoa,word,f,word,1,0.604224
28,main,LDT_161,hàng,word,1,1,700.0,6.551080335,hàng,word,f,word,1,0.575982
28,main,LDT_162,luật,word,1,1,74.0,4.304065093,luật,word,f,word,1,0.688107
28,main,LDT_163,lá,word,1,1,443.0,6.09356977,lá,word,f,word,1,0.581062
28,main,LDT_164,lực,word,1,1,199.0,5.293304825,lực,word,f,word,1,0.630891
28,main,LDT_165,mũ,word,1,1,47.0,3.850147602,mũ,word,f,word,1,0.695292
28,main,LDT_166,mắt,word,1,1,317.0,5.758901774,mắt,word,f,word,1,0.584432
28,main,LDT_167,nhà,word,1,1,1208.0,7.096721378,nhà,word,f,word,1,0.581841
28,main,LDT_168,núi,word,1,1,31.0,3.433987204,núi,word,f,word,1,0.677269
28,main,LDT_169,nước,word,1,1,1464.0,7.288927695,nước,word,f,word,1,0.594131
28,main,LDT_170,rừng,word,1,1,31.0,3.433987204,rừng,word,f,word,1,0.667709
28,main,LDT_171,sách,word,1,1,97.0,4.574710979,sách,word,f,word,1,0.655426
28,main,LDT_172,sông,word,1,1,60.0,4.094344562,sông,word,f,word,1,0.689018
28,main,LDT_173,thuốc,word,1,1,57.0,4.043051268,thuốc,word,f,word,1,0.640879
28,main,LDT_174,tin,word,1,1,679.0,6.520621128,tin,word,f,word,1,0.601817
28,main,LDT_175,tiền,word,1,1,317.0,5.758901774,tiền,word,f,word,1,0.604412
28,main,LDT_176,trị,word,1,1,91.0,4.510859507,trị,word,f,word,1,0.684569
28,main,LDT_177,vải,word,1,1,178.0,5.18178355,vải,word,f,word,1,0.61332
