participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt
19,practice,PRACTICE_001,mèo,word,1,1,,,mèo,word,f,word,1,0.704
19,practice,PRACTICE_002,mẻo,pseudoword,0,1,,,mèo,nonword,j,nonword,1,0.739
19,practice,PRACTICE_003,ghế đá,word,1,2,,,ghế đá,word,f,word,1,0.774
19,practice,PRACTICE_004,tủ lảnh,pseudoword,0,2,,,tủ lạnh,nonword,j,nonword,1,0.809
19,main,LDT_001,biểc,pseudoword,0,1,,,biển,nonword,j,nonword,1,0.820026
19,main,LDT_002,bàc,pseudoword,0,1,,,bàn,nonword,j,nonword,1,0.798246
19,main,LDT_003,búc,pseudoword,0,1,,,bút,nonword,j,nonword,1,0.838466
19,main,LDT_004,chá,pseudoword,0,1,,,chợ,nonword,j,nonword,1,0.788686
19,main,LDT_005,khây,pseudoword,0,1,,,cây,nonword,j,nonword,1,0.812906
19,main,LDT_006,cở,pseudoword,0,1,,,cỏ,nonword,j,nonword,1,0.831126
19,main,LDT_007,côc,pseudoword,0,1,,,cốc,nonword,j,nonword,1,0.781346
19,main,LDT_008,bửa,pseudoword,0,1,,,cửa,nonword,j,nonword,1,0.821566
19,main,LDT_009,dản,pseudoword,0,1,,,dân,nonword,j,nonword,1,0.799786
19,main,LDT_010,ghể,pseudoword,0,1,,,ghế,nonword,j,nonword,1,0.840006
19,main,LDT_011,gá,pseudoword,0,1,,,giá,nonword,j,nonword,1,0.790226
19,main,LDT_012,hó,pseudoword,0,1,,,gió,nonword,j,nonword,1,0.814446
19,main,LDT_013,đoa,pseudoword,0,1,,,hoa,nonword,j,nonword,1,0.832666
19,main,LDT_014,hàc,pseudoword,0,1,,,hàng,nonword,j,nonword,1,0.782886
19,main,LDT_015,luậc,pseudoword,0,1,,,luật,nonword,j,nonword,1,0.823106
19,main,LDT_016,lâ,pseudoword,0,1,,,lá,nonword,j,nonword,1,0.801326
19,main,LDT_017,lủc,pseudoword,0,1,,,lực,nonword,j,nonword,1,0.841546
19,main,LDT_018,mố,pseudoword,0,1,,,mũ,nonword,j,nonword,1,0.791766
19,main,LDT_019,măt,pseudoword,0,1,,,mắt,nonword,j,nonword,1,0.815986
19,main,LDT_020,nhâ,pseudoword,0,1,,,nhà,nonword,j,nonword,1,0.834206
19,main,LDT_021,búi,pseudoword,0,1,,,núi,nonword,j,nonword,1,0.784426
19,main,LDT_022,nướp,pseudoword,0,1,,,nước,nonword,j,nonword,1,0.824646
19,main,LDT_023,rúng,pseudoword,0,1,,,rừng,nonword,j,nonword,1,0.802866
19,main,LDT_024,sảch,pseudoword,0,1,,,sách,nonword,j,nonword,1,0.843086
19,main,LDT_025,sọng,pseudoword,0,1,,,sông,nonword,j,nonword,1,0.793306
