participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt
5,practice,PRACTICE_001,mèo,word,1,1,,,mèo,word,f,word,1,0.62
5,practice,PRACTICE_002,mẻo,pseudoword,0,1,,,mèo,nonword,j,nonword,1,0.655
5,practice,PRACTICE_003,ghế đá,word,1,2,,,ghế đá,word,f,word,1,0.69
5,practice,PRACTICE_004,tủ lảnh,pseudoword,0,2,,,tủ lạnh,nonword,j,nonword,1,0.725
5,main,LDT_001,biểc,pseudoword,0,1,,,biển,nonword,j,nonword,1,0.676026
5,main,LDT_002,bàc,pseudoword,0,1,,,bàn,nonword,j,nonword,1,0.654246
5,main,LDT_003,búc,pseudoword,0,1,,,bút,nonword,j,nonword,1,0.694466
5,main,LDT_004,chá,pseudoword,0,1,,,chợ,nonword,j,nonword,1,0.644686
5,main,LDT_005,khây,pseudoword,0,1,,,cây,nonword,j,nonword,1,0.668906
5,main,LDT_006,cở,pseudoword,0,1,,,cỏ,nonword,j,nonword,1,0.687126
5,main,LDT_007,côc,pseudoword,0,1,,,cốc,nonword,j,nonword,1,0.637346
5,main,LDT_008,bửa,pseudoword,0,1,,,cửa,nonword,j,nonword,1,0.677566
5,main,LDT_009,dản,pseudoword,0,1,,,dân,nonword,j,nonword,1,0.655786
5,main,LDT_010,ghể,pseudoword,0,1,,,ghế,nonword,j,nonword,1,0.696006
5,main,LDT_011,gá,pseudoword,0,1,,,giá,nonword,j,nonword,1,0.646226
5,main,LDT_012,hó,pseudoword,0,1,,,gió,nonword,j,nonword,1,0.670446
5,main,LDT_013,đoa,pseudoword,0,1,,,hoa,nonword,j,nonword,1,0.688666
5,main,LDT_014,hàc,pseudoword,0,1,,,hàng,nonword,j,nonword,1,0.638886
5,main,LDT_015,luậc,pseudoword,0,1,,,luật,nonword,j,nonword,1,0.679106
5,main,LDT_016,lâ,pseudoword,0,1,,,lá,nonword,j,nonword,1,0.657326
5,main,LDT_017,lủc,pseudoword,0,1,,,lực,nonword,j,nonword,1,0.697546
5,main,LDT_018,mố,pseudoword,0,1,,,mũ,nonword,j,nonword,1,0.647766
5,main,LDT_019,măt,pseudoword,0,1,,,mắt,nonword,j,nonword,1,0.671986
5,main,LDT_020,nhâ,pseudoword,0,1,,,nhà,nonword,j,nonword,1,0.690206
5,main,LDT_021,búi,pseudoword,0,1,,,núi,nonword,f,word,0,0.640426
5,main,LDT_022,nướp,pseudoword,0,1,,,nước,nonword,j,nonword,1,0.680646
5,main,LDT_023,rúng,pseudoword,0,1,,,rừng,nonword,j,nonword,1,0.658866
5,main,LDT_024,sảch,pseudoword,0,1,,,sách,nonword,j,nonword,1,0.699086
5,main,LDT_025,sọng,pseudoword,0,1,,,sông,nonword,j,nonword,1,0.649306
5,main,LDT_026,thuốn,pseudoword,0,1,,,thuốc,nonword,j,nonword,1,0.673526
5,main,LDT_027,týn,pseudoword,0,1,,,tin,nonword,j,nonword,1,0.691746
5,main,LDT_028,tiềc,pseudoword,0,1,,,tiền,nonword,j,nonword,1,0.641966
5,main,LDT_029,trý,pseudoword,0,1,,,trị,nonword,j,nonword,1,0.682186
5,main,LDT_030,bải,pseudoword,0,1,,,vải,nonword,j,nonword,1,0.660406
5,main,LDT_031,vảt,pseudoword,0,1,,,vật,nonword,j,nonword,1,0.700626
5,main,LDT_032,xể,pseudoword,0,1,,,xe,nonword,j,nonword,1,0.650846
5,main,LDT_033,máo,pseudoword,0,1,,,áo,nonword,j,nonword,1,0.675066
5,main,LDT_034,đâ,pseudoword,0,1,,,đá,nonword,j,nonword,1,0.693286
